1.000000000000000056e-01,1.811885509775182368e-02
2.000000000000000111e-01,4.318617847413641631e-01
3.000000000000000444e-01,3.128223886299639211e-01
4.000000000000000222e-01,4.236714414337524048e-01
5.000000000000000000e-01,6.653573762178480733e-01
5.999999999999999778e-01,4.323287193784967064e-01
7.000000000000000666e-01,6.905851666640216990e-01
8.000000000000000444e-01,8.742356138763045514e-01
9.000000000000000222e-01,8.108245469661262694e-01
1.000000000000000000e+00,9.882434581085618452e-01
